family,genus,species,Longitude,Latitude
Nereididae,Alitta,Alitta succinea,-87.55,30.28
Nereididae,Alitta,Alitta succinea,-87.512,30.299
Nereididae,Alitta,Alitta succinea,-87.145,30.378
Nereididae,Alitta,Alitta succinea,-87,30.572
Nereididae,Alitta,Alitta succinea,-86.936,30.455
Nereididae,Alitta,Alitta succinea,-86.877,29.929
Nereididae,Alitta,Alitta succinea,-86.669,30.25
Nereididae,Alitta,Alitta succinea,-86.56,30.419
Nereididae,Alitta,Alitta succinea,-86.416,29.501
Nereididae,Alitta,Alitta succinea,-86.316,28.316
Nereididae,Alitta,Alitta succinea,-85.507,29.988
Nereididae,Alitta,Alitta succinea,-85.251,29.083
Nereididae,Alitta,Alitta succinea,-85,29.22
Nereididae,Alitta,Alitta succinea,-85,29.217
Nereididae,Alitta,Alitta succinea,-84.975,10.008
Nereididae,Alitta,Alitta succinea,-84.958,10.008
Nereididae,Alitta,Alitta succinea,-84.806,9.961
Nereididae,Alitta,Alitta succinea,-84.733,29.333
Nereididae,Alitta,Alitta succinea,-84.493,29.989
Nereididae,Alitta,Alitta succinea,-84.337,28.57
Nereididae,Alitta,Alitta succinea,-84.337,28.567
Nereididae,Alitta,Alitta succinea,-84.27,30.026
Nereididae,Alitta,Alitta succinea,-84.22,28.7
Nereididae,Alitta,Alitta succinea,-84.191,26.967
Nereididae,Alitta,Alitta succinea,-84.184,29.699
Nereididae,Alitta,Alitta succinea,-84.171,30.037
Nereididae,Alitta,Alitta succinea,-84.167,30.051
Nereididae,Alitta,Alitta succinea,-84.1,28.933
Nereididae,Alitta,Alitta succinea,-84.032,30.072
Nereididae,Alitta,Alitta succinea,-83.992,30.012
Nereididae,Alitta,Alitta succinea,-83.88,29.984
Nereididae,Alitta,Alitta succinea,-83.872,29.976
Nereididae,Alitta,Alitta succinea,-83.57,27.875
Nereididae,Alitta,Alitta succinea,-83.567,27.875
Nereididae,Alitta,Alitta succinea,-83.208,27.302
Nereididae,Alitta,Alitta succinea,-83.15,29.235
Nereididae,Alitta,Alitta succinea,-83.083,29.083
Nereididae,Alitta,Alitta succinea,-83.067,29.1
Nereididae,Alitta,Alitta succinea,-83.066,29.098
Nereididae,Alitta,Alitta succinea,-82.944,29.061
Nereididae,Alitta,Alitta succinea,-82.8,29.133
Nereididae,Alitta,Alitta succinea,-82.785,29.023
Nereididae,Alitta,Alitta succinea,-82.765,27.805
Nereididae,Alitta,Alitta succinea,-82.75,27.754
Nereididae,Alitta,Alitta succinea,-82.75,27.717
Nereididae,Alitta,Alitta succinea,-82.748,26.648
Nereididae,Alitta,Alitta succinea,-82.735,27.752
Nereididae,Alitta,Alitta succinea,-82.73,28.963
Nereididae,Alitta,Alitta succinea,-82.73,27.646
Nereididae,Alitta,Alitta succinea,-82.723,27.724
Nereididae,Alitta,Alitta succinea,-82.723,27.937
Nereididae,Alitta,Alitta succinea,-82.722,27.936
Nereididae,Alitta,Alitta succinea,-82.717,27.686
Nereididae,Alitta,Alitta succinea,-82.715,27.651
Nereididae,Alitta,Alitta succinea,-82.715,27.573
Nereididae,Alitta,Alitta succinea,-82.709,28.676
Nereididae,Alitta,Alitta succinea,-82.705,27.534
Nereididae,Alitta,Alitta succinea,-82.703,28.044
Nereididae,Alitta,Alitta succinea,-82.7,28.917
Nereididae,Alitta,Alitta succinea,-82.694,27.732
Nereididae,Alitta,Alitta succinea,-82.693,27.948
Nereididae,Alitta,Alitta succinea,-82.692,27.632
Nereididae,Alitta,Alitta succinea,-82.691,27.47
Nereididae,Alitta,Alitta succinea,-82.689,27.974
Nereididae,Alitta,Alitta succinea,-82.682,28.015
Nereididae,Alitta,Alitta succinea,-82.681,28.444
Nereididae,Alitta,Alitta succinea,-82.675,28.015
Nereididae,Alitta,Alitta succinea,-82.672,27.699
Nereididae,Alitta,Alitta succinea,-82.668,28.015
Nereididae,Alitta,Alitta succinea,-82.667,28.021
Nereididae,Alitta,Alitta succinea,-82.659,27.996
Nereididae,Alitta,Alitta succinea,-82.654,28.011
Nereididae,Alitta,Alitta succinea,-82.648,28.01
Nereididae,Alitta,Alitta succinea,-82.645,27.974
Nereididae,Alitta,Alitta succinea,-82.645,27.529
Nereididae,Alitta,Alitta succinea,-82.641,28.01
